embutidos;tipo;largura;altura;tamanho;nao_vazias;preenchidas;buracos;impossiveis;%possiveis;%interior;%borda
270;Varredura ;48;53;2544;1188;1080;83;25;92.86;98.24;59.38
313;Varredura ;48;60;2880;1407;1252;118;37;91.39;96.76;59.8
321;Varredura ;48;47;2256;1398;1284;85;29;93.79;97.96;59.82
297;Boustrophedon ;57;50;2850;1302;1188;90;24;92.96;98.23;66.55
329;Varredura ;62;47;2914;1459;1316;103;40;92.74;98.39;55.07
278;Boustrophedon ;51;50;2550;1230;1112;93;25;92.28;97.43;63.67
322;Boustrophedon ;63;54;3402;1425;1288;112;25;92.0;97.64;60.85
348;Boustrophedon ;55;56;3080;1551;1392;115;44;92.37;97.31;56.75
283;Boustrophedon ;54;44;2376;1225;1132;76;17;93.71;98.32;64.65
370;Varredura ;59;55;3245;1630;1480;111;39;93.02;98.04;58.94
409;Espiral Crescente ;60;51;3060;1781;1636;118;27;93.27;97.82;58.05
342;Boustrophedon ;52;53;2756;1505;1368;111;26;92.49;97.75;58.24
355;Espiral Crescente ;60;60;3600;1563;1420;109;34;92.87;97.93;55.56
329;Espiral Crescente ;54;49;2646;1436;1316;90;30;93.6;98.81;59.54
270;Varredura ;57;61;3477;1227;1080;117;30;90.23;96.31;59.86
334;Boustrophedon ;51;56;2856;1482;1336;105;41;92.71;97.81;59.32
372;Espiral Crescente ;54;57;3078;1616;1488;104;24;93.47;98.22;60.9
343;Espiral Crescente ;50;62;3100;1481;1372;87;22;94.04;98.65;57.99
352;Varredura ;58;55;3190;1520;1408;88;24;94.12;98.21;62.29
258;Espiral Crescente ;52;48;2496;1169;1032;97;40;91.41;97.9;55.47
401;Varredura ;59;55;3245;1761;1604;133;24;92.34;98.32;60.3
416;Boustrophedon ;58;56;3248;1800;1664;115;21;93.54;98.88;57.35
316;Varredura ;54;62;3348;1390;1264;95;31;93.01;98.08;64.88
536;Varredura ;63;53;3339;2244;2144;73;27;96.71;99.59;69.74
368;Varredura ;56;52;2912;1618;1472;118;28;92.58;97.96;59.25
198;Varredura ;45;33;1485;877;792;69;16;91.99;97.72;60.8
319;Varredura ;56;52;2912;1448;1276;131;41;90.69;96.65;63.54
267;Varredura ;50;45;2250;1190;1068;87;35;92.47;97.9;57.14
506;Varredura ;57;50;2850;2110;2024;74;12;96.47;99.73;64.16
257;Espiral Crescente ;51;43;2193;1145;1028;97;20;91.38;98.27;54.09
223;Varredura ;43;47;2021;989;892;73;24;92.44;99.61;58.59
431;Boustrophedon ;56;54;3024;1878;1724;126;28;93.19;97.93;56.79
323;Espiral Decrescente ;57;59;3363;1452;1292;117;43;91.7;95.21;65.35
228;Boustrophedon ;44;40;1760;1011;912;81;18;91.84;97.69;57.67
300;Varredura ;53;54;2862;1344;1200;121;23;90.84;96.08;62.64
284;Espiral Crescente ;49;49;2401;1256;1136;90;30;92.66;98.7;58.37
338;Varredura ;55;46;2530;1487;1352;111;24;92.41;97.71;59.62
336;Boustrophedon ;58;46;2668;1445;1344;81;20;94.32;98.45;62.9
234;Varredura ;46;37;1702;1023;936;66;21;93.41;97.96;62.77
406;Varredura ;59;59;3481;1753;1624;108;21;93.76;97.65;64.12
242;Varredura ;42;44;1848;1063;968;63;32;93.89;98.16;59.49
281;Espiral Crescente ;53;59;3127;1243;1124;96;23;92.13;97.68;62.06
503;Varredura ;60;63;3780;2192;2012;138;42;93.58;97.84;58.82
279;Boustrophedon ;54;41;2214;1208;1116;78;14;93.47;98.01;64.18
345;Varredura ;54;63;3402;1515;1380;108;27;92.74;97.43;61.71
285;Boustrophedon ;55;61;3355;1275;1140;100;35;91.94;99.0;55.2
278;Boustrophedon ;52;48;2496;1238;1112;95;31;92.13;97.99;63.61
374;Boustrophedon ;60;59;3540;1667;1496;137;34;91.61;98.05;56.72
214;Boustrophedon ;38;53;2014;962;856;74;32;92.04;96.56;61.35
305;Varredura ;57;51;2907;1349;1220;108;21;91.87;98.23;60.0
372;Varredura ;53;63;3339;1605;1488;93;24;94.12;99.33;59.55
326;Espiral Crescente ;62;49;3038;1461;1304;118;39;91.7;97.75;57.33
327;Varredura ;49;61;2989;1431;1308;92;31;93.43;98.38;59.53
218;Varredura ;45;56;2520;1005;872;99;34;89.8;96.96;55.65
290;Varredura ;54;40;2160;1244;1160;64;20;94.77;98.75;65.53
348;Espiral Crescente ;59;59;3481;1532;1392;121;19;92.0;97.44;61.97
376;Boustrophedon ;61;59;3599;1645;1504;109;32;93.24;98.52;58.84
341;Boustrophedon ;59;51;3009;1495;1364;106;25;92.79;97.39;63.06
325;Boustrophedon ;56;50;2800;1440;1300;113;27;92.0;97.74;60.42
389;Varredura ;63;52;3276;1701;1556;103;42;93.79;98.56;59.68
381;Espiral Crescente ;62;56;3472;1682;1524;126;32;92.36;98.27;54.42
355;Boustrophedon ;63;52;3276;1561;1420;111;30;92.75;96.88;63.67
213;Varredura ;35;41;1435;926;852;65;9;92.91;97.35;68.6
329;Boustrophedon ;49;48;2352;1445;1316;100;29;92.94;97.65;60.08
259;Boustrophedon ;42;47;1974;1162;1036;97;29;91.44;97.83;56.02
340;Boustrophedon ;56;59;3304;1495;1360;102;33;93.02;97.23;62.17
529;Varredura ;58;63;3654;2233;2116;96;21;95.66;99.38;63.03
262;Varredura ;57;44;2508;1156;1048;86;22;92.42;98.42;65.06
279;Boustrophedon ;53;54;2862;1216;1116;76;24;93.62;98.54;66.54
204;Boustrophedon ;45;46;2070;913;816;77;20;91.38;98.16;59.62
335;Boustrophedon ;58;46;2668;1440;1340;73;27;94.83;98.57;67.32
342;Espiral Crescente ;56;52;2912;1520;1368;121;31;91.87;97.96;56.66
404;Espiral Crescente ;61;55;3355;1790;1616;140;34;92.03;97.84;59.94
304;Boustrophedon ;48;63;3024;1356;1216;95;45;92.75;97.15;59.63
268;Varredura ;42;54;2268;1178;1072;96;10;91.78;97.93;59.05
353;Espiral Crescente ;52;57;2964;1579;1412;138;29;91.1;97.8;54.87
300;Boustrophedon ;52;61;3172;1351;1200;114;37;91.32;96.25;63.99
299;Boustrophedon ;41;63;2583;1308;1196;86;26;93.29;98.42;58.7
330;Espiral Crescente ;57;53;3021;1440;1320;95;25;93.29;98.82;58.91
350;Varredura ;63;49;3087;1552;1400;117;35;92.29;98.05;59.87
354;Varredura ;55;63;3465;1570;1416;114;40;92.55;97.19;66.57
376;Boustrophedon ;52;62;3224;1634;1504;105;25;93.47;98.53;60.14
318;Espiral Crescente ;59;49;2891;1432;1272;122;38;91.25;98.5;52.65
311;Boustrophedon ;55;45;2475;1375;1244;106;25;92.15;97.67;59.3
239;Varredura ;37;57;2109;1053;956;81;16;92.19;97.77;61.0
348;Varredura ;54;49;2646;1518;1392;89;37;93.99;98.95;60.21
451;Espiral Crescente ;58;63;3654;1954;1804;126;24;93.47;98.44;56.64
367;Boustrophedon ;50;54;2700;1580;1468;80;32;94.83;98.1;59.43
360;Boustrophedon ;57;56;3192;1574;1440;106;28;93.14;97.1;67.67
320;Boustrophedon ;51;54;2754;1407;1280;104;23;92.49;97.97;61.9
424;Boustrophedon ;63;62;3906;1892;1696;139;57;92.43;96.37;65.02
253;Varredura ;45;45;2025;1149;1012;108;29;90.36;97.48;58.33
271;Espiral Crescente ;50;55;2750;1201;1084;94;23;92.02;98.65;55.74
348;Espiral Crescente ;49;55;2695;1532;1392;100;40;93.3;98.1;56.55
277;Varredura ;59;43;2537;1227;1108;90;29;92.49;97.65;61.29
199;Varredura ;41;49;2009;895;796;80;19;90.87;96.85;60.91
279;Espiral Crescente ;49;45;2205;1229;1116;91;22;92.46;98.53;53.33
339;Boustrophedon ;55;55;3025;1529;1356;132;41;91.13;97.42;56.84
384;Varredura ;63;52;3276;1716;1536;141;39;91.59;97.44;62.56
430;Varredura ;55;61;3355;1901;1720;132;49;92.87;98.18;57.62
256;Boustrophedon ;47;55;2585;1133;1024;76;33;93.09;97.45;62.93
286;Boustrophedon ;52;43;2236;1263;1144;97;22;92.18;95.67;66.82
235;Boustrophedon ;51;53;2703;1047;940;84;23;91.8;97.56;61.84
245;Boustrophedon ;47;50;2350;1081;980;71;30;93.24;97.41;59.59
371;Varredura ;61;55;3355;1657;1484;134;39;91.72;97.58;58.16
285;Varredura ;47;50;2350;1261;1140;91;30;92.61;98.82;55.87
260;Boustrophedon ;42;50;2100;1160;1040;91;29;91.95;97.86;55.95
290;Varredura ;55;50;2750;1259;1160;77;22;93.78;98.12;67.61
304;Varredura ;51;52;2652;1326;1216;85;25;93.47;98.09;61.14
325;Boustrophedon ;55;54;2970;1440;1300;99;41;92.92;98.08;60.27
287;Varredura ;50;50;2500;1280;1148;101;31;91.91;97.91;59.34
266;Varredura ;52;47;2444;1180;1064;90;26;92.2;96.94;62.66
549;Varredura ;63;55;3465;2333;2196;112;25;95.15;98.83;60.49
362;Boustrophedon ;63;50;3150;1588;1448;108;32;93.06;97.93;59.79
333;Boustrophedon ;41;56;2296;1478;1332;112;34;92.24;98.33;55.16
368;Boustrophedon ;62;50;3100;1601;1472;92;37;94.12;99.09;57.91
336;Boustrophedon ;58;56;3248;1466;1344;89;33;93.79;98.57;61.68
285;Varredura ;62;48;2976;1269;1140;95;34;92.31;97.93;63.79
199;Boustrophedon ;51;43;2193;913;796;96;21;89.24;95.38;67.05
383;Espiral Crescente ;51;60;3060;1683;1532;120;31;92.74;98.64;54.17
386;Boustrophedon ;55;54;2970;1680;1544;101;35;93.86;98.27;61.64
329;Boustrophedon ;50;56;2800;1457;1316;98;43;93.07;96.83;59.92
279;Espiral Crescente ;41;61;2501;1258;1116;110;32;91.03;97.67;55.93
274;Boustrophedon ;59;46;2714;1208;1096;92;20;92.26;98.05;59.91
280;Boustrophedon ;59;44;2596;1212;1120;81;11;93.26;98.09;66.36
364;Boustrophedon ;51;56;2856;1618;1456;137;25;91.4;96.53;60.41
232;Boustrophedon ;42;44;1848;1030;928;85;17;91.61;98.56;54.08
276;Espiral Crescente ;58;58;3364;1237;1104;108;25;91.09;97.66;62.37
193;Varredura ;49;44;2156;873;772;76;25;91.04;96.97;62.15
133;Boustrophedon ;37;32;1184;604;532;47;25;91.88;96.43;64.1
344;Espiral Crescente ;60;42;2520;1502;1376;100;26;93.22;98.67;51.98
383;Boustrophedon ;60;63;3780;1694;1532;127;35;92.34;97.15;65.56
414;Espiral Crescente ;56;55;3080;1811;1656;123;32;93.09;98.24;54.12
370;Varredura ;62;46;2852;1609;1480;106;23;93.32;98.93;61.54
332;Espiral Crescente ;59;56;3304;1496;1328;117;51;91.9;97.6;52.07
542;Varredura ;56;63;3528;2295;2168;105;22;95.38;99.05;63.64
492;Varredura ;62;55;3410;2084;1968;88;28;95.72;99.39;62.5
261;Boustrophedon ;56;57;3192;1179;1044;111;24;90.39;97.67;58.7
384;Boustrophedon ;56;57;3192;1688;1536;117;35;92.92;97.23;59.35
263;Varredura ;46;52;2392;1184;1052;109;23;90.61;96.13;62.06
311;Boustrophedon ;45;58;2610;1358;1244;92;22;93.11;97.45;66.92
262;Espiral Crescente ;54;42;2268;1156;1048;89;19;92.17;98.11;55.88
210;Espiral Crescente ;53;37;1961;940;840;75;25;91.8;98.9;56.81
252;Boustrophedon ;55;45;2475;1126;1008;91;27;91.72;97.44;63.91
322;Espiral Crescente ;58;51;2958;1438;1288;115;35;91.8;98.26;55.17
342;Varredura ;54;62;3348;1525;1368;122;35;91.81;96.55;62.42
247;Boustrophedon ;49;51;2499;1117;988;101;28;90.73;95.51;63.86
358;Espiral Decrescente ;63;48;3024;1575;1432;119;24;92.33;96.17;68.35
286;Boustrophedon ;55;44;2420;1307;1144;115;48;90.87;98.09;53.55
303;Boustrophedon ;50;59;2950;1372;1212;119;41;91.06;97.72;57.63
260;Boustrophedon ;45;45;2025;1139;1040;67;32;93.95;98.9;60.96
316;Espiral Crescente ;56;53;2968;1393;1264;111;18;91.93;97.72;59.29
521;Boustrophedon ;63;54;3402;2266;2084;142;40;93.62;96.9;62.8
225;Boustrophedon ;43;52;2236;1011;900;76;35;92.21;97.78;61.63
277;Espiral Crescente ;46;50;2300;1224;1108;87;29;92.72;98.71;52.53
292;Boustrophedon ;56;48;2688;1252;1168;65;19;94.73;98.45;69.37
333;Boustrophedon ;57;49;2793;1449;1332;90;27;93.67;98.02;60.92
234;Varredura ;36;61;2196;1042;936;86;20;91.59;97.59;59.62
414;Espiral Crescente ;63;61;3843;1823;1656;133;34;92.57;98.15;55.02
293;Espiral Crescente ;39;52;2028;1281;1172;90;19;92.87;98.52;53.27
253;Varredura ;47;52;2444;1131;1012;94;25;91.5;96.97;61.83
388;Varredura ;57;58;3306;1709;1552;132;25;92.16;97.44;60.07
390;Boustrophedon ;61;47;2867;1677;1560;93;24;94.37;98.53;60.98
345;Boustrophedon ;53;55;2915;1532;1380;117;35;92.18;98.6;57.01
346;Boustrophedon ;55;57;3135;1543;1384;125;34;91.72;97.4;59.16
319;Varredura ;61;59;3599;1437;1276;123;38;91.21;97.12;60.19
399;Boustrophedon ;50;63;3150;1756;1596;124;36;92.79;96.72;61.77
299;Boustrophedon ;60;44;2640;1340;1196;112;32;91.44;97.77;54.37
392;Varredura ;58;53;3074;1709;1568;109;32;93.5;98.19;57.72
308;Boustrophedon ;51;50;2550;1361;1232;101;28;92.42;97.84;57.66
401;Boustrophedon ;57;60;3420;1754;1604;122;28;92.93;97.41;65.23
477;Boustrophedon ;58;63;3654;2020;1908;95;17;95.26;99.26;63.87
190;Boustrophedon ;47;37;1739;848;760;70;18;91.57;97.24;64.29
399;Boustrophedon ;57;58;3306;1713;1596;92;25;94.55;97.87;66.54
267;Varredura ;54;47;2538;1178;1068;89;21;92.31;97.91;59.64
257;Varredura ;57;35;1995;1138;1028;98;12;91.3;96.93;57.81
342;Varredura ;58;57;3306;1506;1368;109;29;92.62;96.87;61.92
386;Espiral Crescente ;62;54;3348;1744;1544;145;55;91.42;97.7;57.64
247;Boustrophedon ;49;47;2303;1107;988;93;26;91.4;96.42;63.49
299;Boustrophedon ;44;63;2772;1323;1196;91;36;92.93;97.67;59.52
390;Espiral Crescente ;56;62;3472;1727;1560;135;32;92.04;98.14;57.01
288;Espiral Crescente ;41;53;2173;1237;1152;70;15;94.27;98.75;64.0
319;Varredura ;50;52;2600;1396;1276;99;21;92.8;96.72;65.25
289;Boustrophedon ;49;53;2597;1280;1156;106;18;91.6;97.64;61.69
188;Boustrophedon ;54;33;1782;843;752;74;17;91.04;96.35;63.98
302;Boustrophedon ;57;47;2679;1340;1208;103;29;92.14;96.76;62.84
324;Boustrophedon ;54;51;2754;1409;1296;95;18;93.17;97.5;66.13
285;Varredura ;56;51;2856;1269;1140;90;39;92.68;97.22;61.3
409;Boustrophedon ;63;59;3717;1804;1636;125;43;92.9;98.02;58.63
323;Boustrophedon ;51;43;2193;1410;1292;100;18;92.82;97.49;59.07
255;Boustrophedon ;50;49;2450;1143;1020;94;29;91.56;96.58;55.83
309;Boustrophedon ;58;44;2552;1351;1236;96;19;92.79;98.64;59.68
321;Espiral Crescente ;44;55;2420;1407;1284;103;20;92.57;98.38;54.98
299;Boustrophedon ;48;55;2640;1329;1196;98;35;92.43;96.73;62.16
227;Varredura ;41;50;2050;1020;908;80;32;91.9;96.26;62.39
286;Varredura ;63;47;2961;1285;1144;120;21;90.51;96.92;60.57
335;Varredura ;46;58;2668;1475;1340;105;30;92.73;98.17;58.46
328;Boustrophedon ;51;50;2550;1417;1312;82;23;94.12;98.32;62.88
501;Varredura ;63;60;3780;2136;2004;110;22;94.8;99.12;64.53
337;Boustrophedon ;52;53;2756;1477;1348;84;45;94.13;96.8;65.25
319;Boustrophedon ;50;52;2600;1404;1276;90;38;93.41;97.05;62.85
378;Espiral Decrescente ;57;54;3078;1685;1512;125;48;92.36;97.05;63.19
260;Boustrophedon ;53;50;2650;1167;1040;104;23;90.91;97.8;58.2
261;Boustrophedon ;46;43;1978;1133;1044;77;12;93.13;97.67;64.55
351;Boustrophedon ;63;47;2961;1554;1404;97;53;93.54;98.22;60.0
349;Varredura ;47;59;2773;1535;1396;108;31;92.82;97.41;64.09
349;Boustrophedon ;63;51;3213;1526;1396;111;19;92.63;97.64;60.63
322;Boustrophedon ;45;52;2340;1399;1288;83;28;93.95;98.53;61.16
319;Varredura ;53;52;2756;1427;1276;124;27;91.14;96.71;58.3
261;Espiral Crescente ;59;43;2537;1193;1044;113;36;90.23;97.51;53.16
378;Espiral Crescente ;55;63;3465;1669;1512;124;33;92.42;98.19;61.45
298;Espiral Crescente ;56;58;3248;1374;1192;133;49;89.96;97.08;56.07
334;Boustrophedon ;56;51;2856;1483;1336;117;30;91.95;97.61;61.86
318;Boustrophedon ;47;56;2632;1393;1272;95;26;93.05;98.15;61.39
300;Boustrophedon ;46;48;2208;1316;1200;93;23;92.81;97.78;61.02
255;Boustrophedon ;46;50;2300;1141;1020;92;29;91.73;97.29;55.96
399;Boustrophedon ;59;61;3599;1791;1596;140;55;91.94;97.86;57.47
349;Varredura ;53;58;3074;1557;1396;120;41;92.08;95.99;66.47
290;Boustrophedon ;55;49;2695;1300;1160;97;43;92.28;97.78;56.02
304;Boustrophedon ;48;56;2688;1347;1216;105;26;92.05;96.77;63.77
321;Boustrophedon ;50;51;2550;1407;1284;104;19;92.51;97.74;62.11
362;Boustrophedon ;59;52;3068;1576;1448;114;14;92.7;98.64;57.2
350;Boustrophedon ;58;63;3654;1575;1400;141;34;90.85;97.48;62.24
397;Varredura ;52;54;2808;1694;1588;89;17;94.69;98.21;66.67
367;Varredura ;52;58;3016;1580;1468;81;31;94.77;99.07;65.75
350;Varredura ;57;49;2793;1523;1400;91;32;93.9;98.41;61.28
263;Boustrophedon ;58;41;2378;1164;1052;89;23;92.2;96.72;66.94
269;Boustrophedon ;42;53;2226;1183;1076;89;18;92.36;96.51;65.24
243;Boustrophedon ;45;51;2295;1067;972;64;31;93.82;98.72;59.42
201;Varredura ;48;42;2016;910;804;79;27;91.05;98.07;60.76
394;Varredura ;63;47;2961;1715;1576;111;28;93.42;97.83;62.37
306;Boustrophedon ;47;59;2773;1362;1224;115;23;91.41;96.5;63.77
243;Espiral Crescente ;40;53;2120;1072;972;84;16;92.05;98.4;56.57
332;Boustrophedon ;52;59;3068;1439;1328;95;16;93.32;97.69;63.6
342;Varredura ;49;62;3038;1503;1368;97;38;93.38;98.86;56.79
291;Boustrophedon ;53;53;2809;1293;1164;101;28;92.02;98.43;59.21
323;Boustrophedon ;55;53;2915;1423;1292;101;30;92.75;97.96;56.68
258;Varredura ;57;40;2280;1162;1032;103;27;90.93;97.34;59.39
293;Boustrophedon ;48;48;2304;1282;1172;81;29;93.54;97.77;65.48
486;Boustrophedon ;57;54;3078;2047;1944;72;31;96.43;99.39;64.2
271;Varredura ;46;47;2162;1186;1084;78;24;93.29;97.33;63.98
371;Boustrophedon ;49;63;3087;1642;1484;126;32;92.17;96.12;67.38
260;Boustrophedon ;42;57;2394;1149;1040;86;23;92.36;98.22;62.65
293;Varredura ;55;51;2805;1330;1172;108;50;91.56;96.61;58.86
281;Boustrophedon ;52;41;2132;1228;1124;77;27;93.59;97.56;61.46
253;Boustrophedon ;57;39;2223;1113;1012;81;20;92.59;97.85;64.04
538;Boustrophedon ;58;58;3364;2254;2152;83;19;96.29;99.34;68.99
336;Boustrophedon ;53;53;2809;1462;1344;97;21;93.27;97.85;63.2
288;Boustrophedon ;49;47;2303;1289;1152;96;41;92.31;97.15;54.85
340;Varredura ;61;54;3294;1504;1360;114;30;92.27;97.88;63.16
335;Boustrophedon ;47;56;2632;1449;1340;86;23;93.97;98.26;63.79
385;Boustrophedon ;61;62;3782;1694;1540;110;44;93.33;97.67;62.23
261;Varredura ;54;46;2484;1151;1044;76;31;93.21;98.02;63.22
292;Boustrophedon ;62;44;2728;1293;1168;91;34;92.77;97.04;61.63
369;Boustrophedon ;57;59;3363;1661;1476;152;33;90.66;97.23;58.61
255;Espiral Crescente ;51;62;3162;1161;1020;102;39;90.91;97.49;58.25
223;Boustrophedon ;46;43;1978;971;892;62;17;93.5;99.13;56.1
263;Espiral Crescente ;58;40;2320;1151;1052;85;14;92.52;99.04;57.75
216;Espiral Crescente ;40;55;2200;959;864;65;30;93.0;99.06;59.26
375;Boustrophedon ;56;49;2744;1621;1500;95;26;94.04;97.69;62.29
219;Boustrophedon ;45;41;1845;965;876;59;30;93.69;99.11;54.19
310;Varredura ;48;55;2640;1374;1240;109;25;91.92;97.46;61.17
371;Boustrophedon ;54;55;2970;1626;1484;110;32;93.1;97.5;64.61
389;Boustrophedon ;60;53;3180;1697;1556;110;31;93.4;97.46;62.63
381;Varredura ;61;63;3843;1670;1524;119;27;92.76;98.24;59.74
315;Boustrophedon ;51;51;2601;1381;1260;103;18;92.44;97.09;64.37
347;Espiral Decrescente ;55;61;3355;1548;1388;124;36;91.8;96.53;64.88
192;Boustrophedon ;46;32;1472;859;768;76;15;91.0;97.67;56.14
268;Boustrophedon ;41;50;2050;1173;1072;83;18;92.81;99.26;59.13
317;Espiral Crescente ;63;48;3024;1426;1268;120;38;91.35;98.19;57.14
244;Espiral Crescente ;47;51;2397;1096;976;89;31;91.64;98.57;57.65
424;Boustrophedon ;57;61;3477;1841;1696;122;23;93.29;98.43;61.22
322;Boustrophedon ;60;44;2640;1416;1288;93;35;93.27;97.22;67.88
303;Varredura ;53;50;2650;1344;1212;84;48;93.52;97.41;60.46
204;Boustrophedon ;49;46;2254;923;816;83;24;90.77;96.06;66.39
286;Varredura ;58;54;3132;1270;1144;97;29;92.18;97.43;61.39
295;Boustrophedon ;63;47;2961;1323;1180;97;46;92.4;97.13;63.58
416;Espiral Crescente ;63;57;3591;1801;1664;111;26;93.75;98.53;62.54
328;Boustrophedon ;61;46;2806;1444;1312;105;27;92.59;98.16;63.0
366;Varredura ;56;53;2968;1602;1464;109;29;93.07;97.3;61.8
289;Espiral Crescente ;51;47;2397;1259;1156;81;22;93.45;98.56;59.26
215;Boustrophedon ;48;41;1968;968;860;82;26;91.3;97.75;57.08
364;Boustrophedon ;50;54;2700;1559;1456;82;21;94.67;97.84;65.58
377;Varredura ;63;58;3654;1638;1508;97;33;93.96;98.46;60.65
253;Varredura ;44;56;2464;1141;1012;99;30;91.09;97.22;62.09
309;Boustrophedon ;47;57;2679;1344;1236;84;24;93.64;97.95;61.88
414;Boustrophedon ;54;58;3132;1795;1656;104;35;94.09;98.42;58.78
307;Boustrophedon ;47;56;2632;1358;1228;104;26;92.19;97.65;64.16
347;Varredura ;56;50;2800;1511;1388;96;27;93.53;98.03;60.0
361;Varredura ;54;51;2754;1557;1444;83;30;94.56;98.32;63.01
283;Espiral Decrescente ;35;60;2100;1240;1132;82;26;93.25;95.98;72.13
284;Boustrophedon ;47;53;2491;1245;1136;84;25;93.11;97.66;61.01
293;Varredura ;55;44;2420;1295;1172;97;26;92.36;96.72;61.4
225;Boustrophedon ;50;45;2250;1021;900;90;31;90.91;97.44;58.09
316;Varredura ;53;48;2544;1364;1264;71;29;94.68;99.21;59.19
256;Varredura ;48;45;2160;1104;1024;52;28;95.17;98.57;65.99
285;Varredura ;51;54;2754;1263;1140;85;38;93.06;98.14;57.02
422;Boustrophedon ;60;62;3720;1872;1688;153;31;91.69;97.21;61.1
371;Boustrophedon ;54;51;2754;1647;1484;125;38;92.23;96.98;62.04
261;Espiral Crescente ;54;51;2754;1174;1044;105;25;90.86;97.93;56.47
245;Varredura ;42;51;2142;1083;980;78;25;92.63;98.18;57.35
383;Boustrophedon ;58;59;3422;1676;1532;121;23;92.68;97.09;65.45
279;Boustrophedon ;47;48;2256;1230;1116;89;25;92.61;97.34;65.35
288;Espiral Crescente ;52;56;2912;1291;1152;107;32;91.5;98.03;56.57
274;Varredura ;49;50;2450;1222;1096;93;33;92.18;97.43;59.44
236;Boustrophedon ;51;43;2193;1045;944;70;31;93.1;98.41;61.23
280;Boustrophedon ;55;47;2585;1239;1120;99;20;91.88;96.67;65.32
324;Espiral Crescente ;48;55;2640;1421;1296;110;15;92.18;98.23;55.36
325;Boustrophedon ;55;52;2860;1430;1300;96;34;93.12;97.14;64.98
280;Espiral Crescente ;46;49;2254;1222;1120;80;22;93.33;98.7;60.09
346;Boustrophedon ;55;53;2915;1523;1384;105;34;92.95;97.35;61.59
357;Varredura ;58;53;3074;1573;1428;107;38;93.03;98.33;60.76
284;Boustrophedon ;51;54;2754;1260;1136;101;23;91.84;97.12;62.3
120;Varredura ;30;34;1020;533;480;38;15;92.66;98.25;65.41
358;Boustrophedon ;56;61;3416;1581;1432;120;29;92.27;96.65;67.38
336;Boustrophedon ;57;54;3078;1484;1344;103;37;92.88;96.94;62.41
252;Boustrophedon ;52;42;2184;1108;1008;81;19;92.56;97.45;62.62
265;Boustrophedon ;51;42;2142;1175;1060;95;20;91.77;98.32;56.0
441;Espiral Crescente ;55;63;3465;1911;1764;127;20;93.28;98.83;55.24
250;Boustrophedon ;55;44;2420;1101;1000;87;14;92.0;97.63;62.62
336;Boustrophedon ;59;52;3068;1476;1344;96;36;93.33;97.95;58.69
239;Varredura ;39;52;2028;1052;956;73;23;92.91;97.85;63.89
296;Boustrophedon ;41;58;2378;1300;1184;90;26;92.94;97.38;67.04
163;Varredura ;34;51;1734;737;652;70;15;90.3;98.18;60.32
395;Espiral Crescente ;63;55;3465;1736;1580;125;31;92.67;98.17;59.25
250;Varredura ;40;56;2240;1091;1000;73;18;93.2;98.55;60.2
235;Boustrophedon ;52;42;2184;1057;940;84;33;91.8;97.21;59.48
321;Boustrophedon ;57;52;2964;1417;1284;100;33;92.77;98.33;58.99
309;Varredura ;54;52;2808;1382;1236;116;30;91.42;97.83;55.8
261;Boustrophedon ;47;56;2632;1153;1044;88;21;92.23;97.45;59.91
322;Boustrophedon ;48;57;2736;1431;1288;104;39;92.53;97.6;62.09
299;Espiral Crescente ;48;48;2304;1311;1196;91;24;92.93;98.16;57.96
293;Boustrophedon ;49;50;2450;1290;1172;86;32;93.16;98.17;60.24
372;Boustrophedon ;56;57;3192;1610;1488;98;24;93.82;97.32;71.29
307;Boustrophedon ;43;57;2451;1358;1228;94;36;92.89;97.91;58.37
338;Espiral Crescente ;60;59;3540;1522;1352;138;32;90.74;97.41;56.97
356;Boustrophedon ;55;52;2860;1578;1424;114;40;92.59;98.42;57.05
331;Boustrophedon ;48;55;2640;1431;1324;84;23;94.03;98.11;60.93
276;Boustrophedon ;52;43;2236;1219;1104;87;28;92.7;97.94;61.38
312;Boustrophedon ;50;49;2450;1361;1248;79;34;94.05;97.36;63.27
373;Boustrophedon ;60;57;3420;1652;1492;131;29;91.93;97.61;59.24
307;Boustrophedon ;59;52;3068;1385;1228;136;21;90.03;97.13;58.82
273;Boustrophedon ;41;51;2091;1205;1092;99;14;91.69;98.27;57.33
343;Boustrophedon ;53;59;3127;1505;1372;113;20;92.39;96.66;66.91
298;Boustrophedon ;51;57;2907;1326;1192;107;27;91.76;96.33;63.74
484;Boustrophedon ;61;56;3416;2088;1936;119;33;94.21;98.39;56.54
317;Espiral Decrescente ;52;46;2392;1384;1268;80;36;94.07;96.58;68.18
237;Boustrophedon ;38;51;1938;1064;948;88;28;91.51;96.48;63.6
293;Varredura ;51;51;2601;1305;1172;103;30;91.92;98.91;59.06
393;Boustrophedon ;55;57;3135;1753;1572;133;48;92.2;97.09;62.6
283;Boustrophedon ;60;40;2400;1261;1132;106;23;91.44;97.3;61.07
239;Varredura ;50;47;2350;1065;956;80;29;92.28;97.39;60.63
220;Boustrophedon ;43;48;2064;977;880;82;15;91.48;97.17;62.31
299;Varredura ;47;52;2444;1298;1196;75;27;94.1;98.61;59.91
280;Varredura ;43;52;2236;1218;1120;79;19;93.41;98.5;62.1
363;Boustrophedon ;56;59;3304;1581;1452;94;35;93.92;97.66;61.42
